Year,Quarter,지역,지역별 분기별 평균 강수량 (mm)
2014,4,철원,1.2
2014,4,청송군,2.01
2014,4,청주,2.27
2014,4,추풍령,2.52
2014,4,춘천,1.15
2014,4,충주,2.18
2014,4,태백,2.29
2014,4,통영,2.78
2014,4,파주,1.23
2014,4,포항,2.01
2014,4,함양군,2.29
2014,4,합천,2.04
2014,4,해남,2.61
2014,4,홍천,0.97
2014,4,흑산도,2.04
2015,1,강릉,0.62
2015,1,강진군,1.09
2015,1,강화,0.42
2015,1,거제,2.03
2015,1,거창,1.06
2015,1,경주시,0.92
2015,1,고산,1.57
2015,1,고산(제주),2.36
2015,1,고창,1.15
2015,1,고창군,1.06
2015,1,고흥,1.78
2015,1,광양시,1.36
2015,1,광주,1.2
2015,1,구미,1.09
2015,1,군산,1.24
2015,1,금산,1.2
2015,1,김해시,1.28
2015,1,남원,0.98
2015,1,남해,2.71
2015,1,대관령,0.7
2015,1,대구,0.99
2015,1,대전,1.15
2015,1,동두천,0.55
2015,1,동해,0.61
2015,1,목포,1.12
2015,1,문경,1.01
2015,1,밀양,1.1
2015,1,백령도,0.47
2015,1,보령,0.94
2015,1,보성군,1.48
2015,1,보은,1.13
2015,1,봉화,0.62
2015,1,부산,1.75
2015,1,부안,1.17
2015,1,부여,1.26
2015,1,북강릉,0.68
2015,1,북창원,1.27
2015,1,산청,1.31
2015,1,상주,1.21
2015,1,서귀포,4.94
2015,1,서산,0.72
2015,1,서울,0.48
2015,1,성산,4.4
2015,1,속초,0.54
2015,1,수원,0.59
2015,1,순창군,1.04
2015,1,순천,1.55
2015,1,안동,0.81
2015,1,양산시,1.37
2015,1,양평,0.51
2015,1,여수,2.01
2015,1,영광군,1.04
2015,1,영덕,0.62
2015,1,영월,0.61
2015,1,영주,0.87
2015,1,영천,0.85
2015,1,완도,2.1
2015,1,울릉도,3.13
2015,1,울산,1.09
2015,1,울진,0.81
2015,1,원주,0.63
2015,1,의령군,1.27
2015,1,의성,0.82
2015,1,이천,0.81
2015,1,인제,0.45
2015,1,인천,0.48
2015,1,임실,0.89
2015,1,장수,1.13
2015,1,장흥,1.05
2015,1,전주,0.98
2015,1,정선군,0.63
2015,1,정읍,1.11
2015,1,제주,2.21
2015,1,제천,0.9
2015,1,진도군,1.32
2015,1,진주,1.89
2015,1,창원,1.49
2015,1,천안,0.64
2015,1,철원,0.54
2015,1,청송군,0.72
2015,1,청주,0.96
2015,1,추풍령,1.25
2015,1,춘천,0.66
2015,1,충주,0.78
2015,1,태백,0.54
2015,1,통영,2.44
2015,1,파주,0.57
2015,1,포항,0.96
2015,1,함양군,1.0
2015,1,합천,1.0
2015,1,해남,0.92
2015,1,홍천,0.34
2015,1,흑산도,1.17
2015,2,강릉,2.8
2015,2,강진군,4.79
2015,2,강화,1.33
2015,2,거제,7.14
2015,2,거창,3.1
2015,2,경주시,2.52
2015,2,고산,6.33
2015,2,고산(제주),6.81
2015,2,고창,3.31
2015,2,고창군,2.76
2015,2,고흥,6.21
2015,2,광양시,5.25
2015,2,광주,3.19
2015,2,구미,1.9
2015,2,군산,3.09
2015,2,금산,2.93
2015,2,김해시,3.87
2015,2,남원,2.77
2015,2,남해,7.21
2015,2,대관령,1.8
2015,2,대구,1.97
2015,2,대전,2.68
2015,2,동두천,2.04
2015,2,동해,2.28
2015,2,목포,3.9
2015,2,문경,2.41
2015,2,밀양,2.67
2015,2,백령도,1.11
2015,2,보령,2.77
2015,2,보성군,5.09
2015,2,보은,2.17
2015,2,봉화,2.1
2015,2,부산,5.72
2015,2,부안,3.23
2015,2,부여,2.7
2015,2,북강릉,2.65
2015,2,북창원,3.97
2015,2,산청,3.93
2015,2,상주,2.56
2015,2,서귀포,10.4
2015,2,서산,2.43
2015,2,서울,2.29
2015,2,성산,8.71
2015,2,속초,2.32
2015,2,수원,1.78
2015,2,순창군,3.37
2015,2,순천,4.55
2015,2,안동,2.51
2015,2,양산시,4.41
2015,2,양평,2.35
2015,2,여수,5.29
2015,2,영광군,3.3
2015,2,영덕,2.21
2015,2,영월,1.74
2015,2,영주,2.83
2015,2,영천,2.33
2015,2,완도,7.59
2015,2,울릉도,2.27
2015,2,울산,3.28
2015,2,울진,2.04
2015,2,원주,3.47
2015,2,의령군,3.62
2015,2,의성,1.88
2015,2,이천,2.65
