지역,Year,Quarter,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
대전,2013,2,,47.0,0.0027,0.0373,0.0177,0.3333
대전,2013,3,,28.3,0.002,0.0253,0.013,0.3
대전,2013,4,,38.3,0.004,0.014,0.025,0.5333
대전,2014,1,,52.3,0.0063,0.019,0.0263,0.6333
대전,2014,2,,47.7,0.003,0.0417,0.017,0.3667
대전,2014,3,,27.0,0.0027,0.0283,0.0127,0.3333
대전,2014,4,,37.0,0.0043,0.0143,0.0237,0.5667
대전,2015,1,35.7,62.7,0.0053,0.0197,0.0217,0.6
대전,2015,2,26.3,43.0,0.0033,0.0367,0.016,0.4
대전,2015,3,19.0,27.0,0.002,0.029,0.0133,0.3667
대전,2015,4,32.3,45.3,0.0033,0.0137,0.0233,0.5333
대전,2016,1,29.0,51.0,0.0043,0.0197,0.0197,0.5333
대전,2016,2,24.0,50.3,0.0027,0.0443,0.0173,0.4
대전,2016,3,15.0,29.3,0.0023,0.0337,0.0147,0.4333
대전,2016,4,22.0,44.7,0.0033,0.0147,0.0247,0.5667
대전,2017,1,26.3,50.3,0.004,0.0227,0.0227,0.5333
대전,2017,2,21.3,54.7,0.0027,0.0467,0.015,0.3667
대전,2017,3,15.3,31.0,0.002,0.0283,0.013,0.3667
대전,2017,4,21.3,45.3,0.0027,0.0177,0.0217,0.5
대전,2018,1,28.3,54.7,0.003,0.0237,0.0253,0.5
대전,2018,2,20.3,48.3,0.002,0.0433,0.015,0.3667
대전,2018,3,12.0,23.3,0.002,0.0287,0.0113,0.3333
대전,2018,4,26.0,48.3,0.0027,0.0133,0.026,0.5333
대전,2019,1,36.3,65.3,0.0033,0.019,0.0263,0.5667
대전,2019,2,18.7,38.7,0.0023,0.0377,0.016,0.3333
대전,2019,3,13.7,23.3,0.002,0.0273,0.0117,0.3
대전,2019,4,20.3,37.3,0.0027,0.0163,0.0237,0.4667
대전,2020,1,22.7,39.7,0.0027,0.021,0.0223,0.4667
대전,2020,2,17.3,35.7,0.002,0.041,0.0123,0.3333
대전,2020,3,10.3,19.0,0.002,0.028,0.0107,0.3333
대전,2020,4,19.3,36.0,0.0023,0.019,0.024,0.4667
대전,2021,1,20.7,48.0,0.003,0.024,0.022,0.5667
