연도_분기,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012-2분기,목포,21.8,13.4,17.2,2.7,2.0,0.0,72.3,8.4
2012-2분기,문경,23.7,11.6,17.5,1.9,2.4,0.0,56.6,12.1
2012-2분기,밀양,25.1,12.5,18.5,1.8,2.9,0.0,61.3,12.6
2012-2분기,백령도,18.8,11.3,14.6,5.0,2.0,0.0,70.7,7.5
2012-2분기,보령,22.1,12.1,16.8,1.9,1.8,0.0,69.7,10.0
2012-2분기,보성군,23.2,13.1,18.1,3.0,4.1,0.0,71.5,10.1
2012-2분기,보은,23.6,10.7,17.0,1.6,2.4,0.0,59.1,12.9
2012-2분기,봉화,20.8,8.2,13.8,1.5,2.7,0.0,66.2,12.6
2012-2분기,부산,22.0,15.1,18.2,3.2,3.8,0.0,62.7,6.9
2012-2분기,부안,23.5,12.6,17.6,2.0,1.6,0.0,67.4,10.9
2012-2분기,부여,24.5,11.8,17.7,1.6,2.2,0.0,60.9,12.6
2012-2분기,북강릉,20.8,12.1,16.2,2.0,2.2,0.1,65.0,8.7
2012-2분기,북창원,23.8,13.7,18.3,1.6,3.6,0.0,37.3,10.0
2012-2분기,산청,24.1,12.7,18.1,1.8,3.1,0.0,62.5,11.5
2012-2분기,상주,24.0,12.4,17.8,1.7,2.2,0.0,58.5,11.6
2012-2분기,서귀포,22.7,16.4,19.3,2.7,8.9,0.0,72.7,6.3
2012-2분기,서산,22.9,11.6,16.9,2.7,2.4,0.0,70.4,11.4
2012-2분기,서울,24.3,14.4,18.7,3.0,2.8,0.0,52.1,9.9
2012-2분기,성산,22.0,14.5,18.2,2.7,7.1,0.0,78.5,7.5
2012-2분기,속초,19.8,12.7,16.1,2.3,2.8,0.1,76.6,7.1
2012-2분기,수원,24.3,13.2,18.2,2.0,2.7,0.0,65.4,11.2
2012-2분기,순창군,24.8,12.1,18.1,2.0,2.2,0.0,57.7,12.6
2012-2분기,순천,23.5,11.3,17.2,1.9,3.2,0.0,68.0,12.3
2012-2분기,안동,24.5,12.2,18.0,2.0,1.9,0.0,60.4,12.3
2012-2분기,양산시,23.7,14.2,18.6,2.9,3.1,0.0,58.2,9.5
2012-2분기,양평,24.7,12.1,18.2,1.7,3.2,0.0,60.5,12.6
2012-2분기,여수,21.3,15.1,17.8,3.7,3.4,0.0,69.2,6.2
2012-2분기,영광군,23.3,12.4,17.5,2.4,1.9,0.0,73.1,10.9
2012-2분기,영덕,23.0,12.6,17.4,3.0,2.5,0.0,67.3,10.4
2012-2분기,영월,24.5,10.5,17.2,1.5,3.2,0.0,62.3,13.9
2012-2분기,영주,23.6,11.1,17.1,2.4,2.8,0.0,59.7,12.6
